,0,1,2,3,4,5,6,7,period_mean,period_std
43,5394.0,5301.0,5152.0,5204.0,5036.0,3565.0,764.0,,4345.142857142857,1698.6714836965416
44,5592.0,5517.0,5184.0,1819.0,5247.0,3482.0,634.0,,3925.0,2004.5067556217748
45,6271.0,5655.0,5653.0,5299.0,5534.0,3706.0,746.0,,4694.857142857143,1913.3129582455863
46,6548.0,5829.0,6002.0,5546.0,5361.0,3229.0,694.0,,4744.142857142857,2071.0634489372387
47,6563.0,6983.0,7392.0,7759.0,13297.0,11867.0,5691.0,,8507.42857142857,2888.7135462660453
48,14063.0,12540.0,11475.0,10487.0,9615.0,4961.0,1129.0,,9181.42857142857,4562.8268963126675
49,7474.0,8659.0,7573.0,7366.0,7301.0,4404.0,1374.0,,6307.285714285715,2535.151653207734
50,7969.0,7622.0,8028.0,7227.0,7132.0,4960.0,1519.0,,6351.0,2370.1665201696974
51,8300.0,7797.0,8251.0,8441.0,7774.0,4960.0,1816.0,,6762.714285714285,2490.217240475599
52,4566.0,0.0,5729.0,5806.0,5455.0,3647.0,792.0,,3713.5714285714284,2398.959556220353
1,0.0,6240.0,6132.0,6430.0,4036.0,642.0,5520.0,4051.0,4131.375,2533.2167544448303
2,6104.0,5753.0,6550.0,6785.0,7015.0,5469.0,1345.0,,5574.428571428572,1945.2499288560034
3,7594.0,7419.0,7664.0,6902.0,6666.0,4608.0,1006.0,,5979.857142857143,2430.8884815070824
4,6820.0,6849.0,7231.0,6150.0,6581.0,4696.0,910.0,,5605.285714285715,2228.0987197074337
5,7020.0,6290.0,6801.0,6272.0,6343.0,4164.0,933.0,,5403.285714285715,2179.856395444871
6,6799.0,6662.0,6404.0,6064.0,5990.0,3977.0,738.0,,5233.428571428572,2195.1388609943606
7,7128.0,6603.0,6562.0,5754.0,5840.0,3704.0,722.0,,5187.571428571428,2256.345559907499
8,5933.0,5751.0,5663.0,5095.0,4703.0,3133.0,584.0,,4408.857142857143,1937.0032204904762
9,5108.0,4838.0,4927.0,4549.0,4537.0,2971.0,609.0,,3934.1428571428573,1628.2080567883443
10,5054.0,4731.0,5121.0,4684.0,4895.0,3336.0,782.0,,4086.1428571428573,1576.6670995670402
11,5437.0,4768.0,5212.0,4930.0,4789.0,2997.0,563.0,,4099.428571428572,1749.3300486322241
12,4993.0,4624.0,4789.0,4388.0,4246.0,2786.0,547.0,,3767.5714285714284,1593.1023044302435
13,4797.0,4339.0,4560.0,4111.0,4406.0,2895.0,696.0,,3686.285714285714,1454.2702309962563
14,4607.0,4614.0,4607.0,4534.0,4557.0,3221.0,854.0,,3856.285714285714,1418.266514009939
15,5363.0,4816.0,5059.0,4574.0,4562.0,2992.0,587.0,,3993.285714285714,1681.0087957618102
16,5052.0,4896.0,4942.0,4774.0,4238.0,2569.0,376.0,,3835.285714285714,1753.2743381347668
17,1070.0,5081.0,4685.0,4454.0,4625.0,3290.0,646.0,,3407.285714285714,1830.9228742436344
18,5156.0,4887.0,0.0,5866.0,5080.0,3482.0,583.0,,3579.1428571428573,2362.055208822141
19,5406.0,5174.0,2256.0,5918.0,5365.0,3419.0,655.0,,4027.5714285714284,1977.3661654789564
20,5384.0,5208.0,5298.0,5192.0,5309.0,3707.0,681.0,,4397.0,1741.2742460623485
21,5926.0,5770.0,5062.0,4934.0,5113.0,3549.0,631.0,,4426.428571428572,1842.191526157804
22,5116.0,5075.0,4956.0,1888.0,4342.0,2718.0,601.0,,3528.0,1804.1508621324697
23,5321.0,4884.0,5270.0,4955.0,4814.0,3194.0,571.0,,4144.142857142857,1730.907991832748
24,2201.0,5989.0,6024.0,5851.0,6219.0,4168.0,743.0,,4456.428571428572,2191.546018768703
25,6211.0,5960.0,5651.0,5377.0,5345.0,3744.0,706.0,,4713.428571428572,1937.1020328610173
26,6782.0,6565.0,7224.0,7669.0,8066.0,5399.0,1069.0,,6110.571428571428,2383.038036984363
27,7946.0,7251.0,7968.0,8392.0,7517.0,4972.0,1005.0,,6435.857142857143,2643.384915127536
28,7673.0,7785.0,8065.0,7611.0,6936.0,4271.0,1112.0,,6207.571428571428,2591.691201843747
29,8325.0,7113.0,7163.0,6889.0,6488.0,4033.0,718.0,,5818.428571428572,2600.104604122871
30,7149.0,6962.0,6753.0,6669.0,6594.0,3885.0,605.0,,5516.714285714285,2434.383749143762
31,6738.0,6156.0,6014.0,5654.0,5158.0,3599.0,750.0,,4867.0,2071.204721894965
32,6439.0,5900.0,5628.0,5784.0,5907.0,3541.0,562.0,,4823.0,2094.3428563633033
33,6226.0,6240.0,6102.0,1946.0,5522.0,3141.0,599.0,,4253.714285714285,2337.397606619073
34,6801.0,6608.0,6720.0,6596.0,5666.0,3307.0,678.0,,5196.571428571428,2347.121915392186
35,6346.0,6090.0,6337.0,6060.0,5769.0,4016.0,801.0,,5059.857142857143,2044.3875552816487
36,6078.0,5628.0,5934.0,7443.0,5836.0,3975.0,707.0,,5085.857142857143,2180.3991552443963
37,6958.0,6505.0,5857.0,5618.0,5692.0,3676.0,870.0,,5025.142857142857,2101.565958087082
38,6522.0,6055.0,6152.0,5534.0,5467.0,3454.0,715.0,,4842.714285714285,2075.1717771697613
39,5859.0,5668.0,5382.0,5033.0,5313.0,3444.0,749.0,,4492.571428571428,1831.1579994767299
40,5854.0,5667.0,6399.0,6823.0,6344.0,3780.0,858.0,,5103.571428571428,2114.653072976184
41,5869.0,5952.0,5502.0,5471.0,5258.0,3479.0,647.0,,4596.857142857143,1929.0003826309824
42,5410.0,5150.0,5192.0,5038.0,5466.0,3625.0,853.0,,4390.571428571428,1680.0037556647362
43,5635.0,5434.0,5548.0,5213.0,4921.0,3163.0,712.0,,4375.142857142857,1824.4580408595707
44,5401.0,5063.0,5268.0,5003.0,1955.0,3219.0,703.0,,3801.714285714286,1874.992330143043
45,5946.0,5356.0,5640.0,5436.0,5161.0,3686.0,662.0,,4555.285714285715,1862.2438718103595
46,2030.0,5777.0,5825.0,5802.0,6026.0,4113.0,771.0,,4334.857142857143,2136.018057708582
47,5702.0,5374.0,5463.0,5294.0,5381.0,3601.0,725.0,,4505.714285714285,1807.4495580131427
48,6488.0,6558.0,7242.0,7570.0,10098.0,6712.0,2172.0,,6691.428571428572,2351.0490464998
49,9343.0,9873.0,9372.0,8831.0,10340.0,6847.0,1996.0,,8086.0,2906.486309389168
50,10240.0,9282.0,11052.0,8038.0,9610.0,5883.0,1687.0,,7970.285714285715,3237.767992217566
51,9397.0,9101.0,8862.0,10471.0,10279.0,7080.0,2011.0,,8171.571428571428,2935.841722410733
52,7796.0,5705.0,0.0,6348.0,5968.0,3952.0,868.0,,4376.714285714285,2930.3327862369556
Season_mean,6273.76282051282,6182.346153846154,6299.74358974359,6088.961538461538,6080.0,4176.820512820513,972.0064102564103,2687.0,,
Season_std,1949.2418546447977,1575.995196708933,1530.9539462186685,1395.9912232121517,1461.3611419141998,1170.3397658699416,691.3933803633474,1668.2493818371402,,
